brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
LG,38CB99-W,38.0,3840 x 1600,75,5,IPS,12:5,3320.08
Asus,VS248H-P,24.0,1920 x 1080,,2,,16:9,119.99
BenQ,PD2700Q,27.0,2560 x 1440,60,4,IPS,16:9,299.00
AOC,24B1XHS,23.8,1920 x 1080,60,7,IPS,16:9,89.99
Asus,VP228H,21.5,1920 x 1080,60,1,TN,16:9,
Dell,AW3418DW,34.1,3440 x 1440,120,4,IPS,21:9,
Westinghouse,WC34DX9019,34.0,3440 x 1440,100,,VA,21:9,337.98
Acer,K242HL Dbid,24.0,1920 x 1080,60,1,TN,16:9,124.98
MSI,Prestige PS341WU,34.0,5120 x 2160,60,8,IPS,64:27,929.99
Sceptre,E248W-1920,24.0,1920 x 1080,60,5,,16:9,106.38
Acer,XB241H bmipr,24.0,1920 x 1080,180,1,TN,16:9,369.99
Dell,S2716DGR,27.0,2560 x 1440,144,1,TN,16:9,1005.89
Sceptre,E225W-1920,22.0,1920 x 1080,60,5,TN,16:9,99.99
AOC,24B1XH,23.8,1920 x 1080,60,7,IPS,16:9,213.55
ViewSonic,VX3276-4K-MHD,31.5,3840 x 2160,60,3,VA,16:9,379.99
Acer,XF270H Bbmiiprzx,27.0,1920 x 1080,144,1,TN,16:9,
iiyama,GB3461WQSU-B1,34.0,3440 x 1440,144,,IPS,21:9,
Dell,U2419H,24.0,1920 x 1080,60,5,IPS,16:9,224.99
BenQ,ZOWIE XL2731,27.0,1920 x 1080,144,1,TN,16:9,265.26
Sceptre,E248W-FPT,23.8,1920 x 1080,75,5,IPS,16:9,119.97
Acer,KG251Q bmiix,24.5,1920 x 1080,75,1,TN,16:9,152.06
Asus,ROG SWIFT PG248Q,24.0,1920 x 1080,180,1,TN,16:9,
AOC,24B1H,23.6,1920 x 1080,60,5,VA,16:9,99.99
ViewEra,V158HB,15.0,1024 x 768,60,8,TN,4:3,198.99
Asus,VA249HE,23.8,1920 x 1080,60,5,VA,16:9,94.98
Gigabyte,AORUS AD27QD-SA,27.0,2560 x 1440,144,1,IPS,16:9,
Acer,G257HL BMIDX,25.0,1920 x 1080,60,4,IPS,16:9,124.98
Acer,KG271 Cbmidpx,27.0,1920 x 1080,144,1,TN,16:9,249.99
Dell,UltraSharp U3419W,34.1,3440 x 1440,60,5,IPS,21:9,699.00
Dell,U2719D,27.0,2560 x 1440,60,5,IPS,16:9,369.99
iiyama,G-MASTER BLACK HAWK,27.0,1920 x 1080,75,1,TN,16:9,287.62
Philips,276E8VJSB,27.0,3840 x 2160,60,5,IPS,16:9,
Acer,Z35 bmiphz,35.0,2560 x 1080,200,4,VA,21:9,699.99
Asus,VP247QG,23.6,1920 x 1080,75,1,TN,16:9,139.99
Pixio,PX7P,27.0,2560 x 1440,165,4,IPS,16:9,409.94
Acer,V206HQLAbd,19.5,1600 x 900,60,5,TN,16:9,
BenQ,XL2740,27.0,1920 x 1080,240,1,TN,16:9,549.00
Philips,246E9QJAB/00,23.8,1920 x 1080,75,4,IPS,16:9,
Eizo,FG2421-BK,23.5,1920 x 1080,240,1,,16:9,1500.00
Dell,U2415,24.1,1920 x 1200,60,6,IPS,16:10,239.00
LG,27UK850-W,27.0,3840 x 2160,60,5,IPS,16:9,449.99
Samsung,C27FG73,27.0,1920 x 1080,144,1,VA,16:9,
Asus,ProArt PA32UCX,32.0,3840 x 2160,60,5,IPS,16:9,
LG,27UL650-W,27.0,3840 x 2160,60,5,IPS,16:9,346.99
Asus,VE228H,21.5,1920 x 1080,,5,,16:9,99.99
Dell,D2719HGF,27.0,1920 x 1080,144,2,TN,16:9,
AOC,24V2Q,23.8,1920 x 1080,75,5,IPS,16:9,252.26
LG,24MK400H,23.5,1920 x 1080,75,1,TN,16:9,
VIOTEK,GNV29CB,29.0,2560 x 1080,120,5,VA,21:9,
Asus,ROG SWIFT PG349Q,34.0,3440 x 1440,120,,IPS,21:9,
Lenovo,C22-10,21.5,1920 x 1080,60,5,TN,16:9,109.94
BenQ,EW3270U,31.5,3840 x 2160,60,4,VA,16:9,449.99
Samsung,LU28R550UQUXEN,28.0,3840 x 2160,60,4,IPS,16:9,
HP,2XN60AA#ABA,23.8,1920 x 1080,60,5,IPS,16:9,
Acer,Nitro VG252Q P,24.5,1920 x 1080,144,,IPS,16:9,
Dell,S2721DS,27.0,2560 x 1440,75,4,IPS,16:9,359.94
Dell,SE2219H,22.0,1920 x 1080,60,5,IPS,16:9,129.94
Asus,ROG Swift PG27VQ,27.0,2560 x 1440,165,1,TN,16:9,
Acer,Nitro XV273 Xbmiiprzx,27.0,1920 x 1080,240,,IPS,16:9,496.76
Dell,UltraSharp U2520D,25.0,2560 x 1440,60,5,IPS,16:9,365.99
Dell,U3219Q,31.5,3840 x 2160,60,5,IPS,16:9,754.85
Asus,ProArt PA329C,32.0,3840 x 2160,60,5,IPS,16:9,1093.11
Monoprice,Zero-G,27.0,2560 x 1440,144,,TN,16:9,
ViewSonic,VX2457-MHD,23.6,1920 x 1080,75,2,TN,16:9,129.99
AOC,AG241QX,23.8,2560 x 1440,144,1,TN,16:9,
Asus,MG278Q,27.0,2560 x 1440,144,1,TN,16:9,899.00
AOC,G2260VWQ6,21.5,1920 x 1080,75,1,TN,16:9,
Acer,ED7,34.0,3440 x 1440,100,4,VA,21:9,499.99
Acer,Predator X34P,34.0,3440 x 1440,120,4,IPS,21:9,
AOC,E2260SWDN,21.5,1920 x 1080,60,5,,16:9,93.98
Asus,ROG STRIX XG27VQ,27.0,1920 x 1080,144,4,VA,16:9,
AOC,U2879VF,28.0,3840 x 2160,60,1,TN,16:9,414.67
Acer,XF270HU Cbmiiprx,27.0,2560 x 1440,144,1,TN,16:9,520.00
Acer,XB273U GSbmiiprzx,27.0,2560 x 1440,165,,IPS,16:9,499.00
Philips,275E1S/00,27.0,2560 x 1440,75,4,IPS,16:9,
AOC,E970SWN,18.5,1366 x 768,60,5,TN,16:9,
LG,29UM69G-B,29.0,2560 x 1080,75,5,IPS,21:9,315.99
Acer,CB282K smiiprx,28.0,3840 x 2160,60,,IPS,16:9,305.99
BenQ,RL2455HM,24.0,1920 x 1080,60,1,TN,16:9,
LG,27UL550-W,27.0,3840 x 2160,60,5,IPS,16:9,299.00
ViewSonic,VX3276-2K-MHD,32.0,2560 x 1440,60,8,IPS,16:9,269.99
BenQ,EX3203R,31.5,2560 x 1440,144,4,VA,16:9,449.99
Sceptre,E325W-2560AD,32.0,2560 x 1440,85,6,VA,16:9,249.97
Asus,VZ249HE,23.8,1920 x 1080,60,5,IPS,16:9,129.00
LG,27UL600-W,27.0,3840 x 2160,60,5,IPS,16:9,449.00
Acer,KG271U Abmiipx,27.0,2560 x 1440,144,1,TN,16:9,
LG,32ML600M-B,32.0,1920 x 1080,75,5,IPS,16:9,259.94
LG,43UN700-B,43.0,3840 x 2160,60,8,IPS,16:9,569.00
VIOTEK,SUW49DA,49.0,5120 x 1440,120,8,VA,32:9,939.99
Asus,PB278Q,27.0,2560 x 1440,60,5,IPS,16:9,
Asus,ROG SWIFT PG279QZ,27.0,2560 x 1440,165,4,IPS,16:9,
ViewSonic,ELITE XG270QC,27.0,2560 x 1440,165,3,VA,16:9,429.99
Samsung,LS27F354FHNXZA,27.0,1920 x 1080,60,4,PLS,16:9,164.98
AOC,AG251FZ,24.5,1920 x 1080,240,1,TN,16:9,685.88
LG,27MK400H-B,27.0,1920 x 1080,60,2,TN,16:9,146.99
HP,Omen 27,27.0,2560 x 1440,165,1,TN,16:9,654.00
ViewSonic,VP2768-4K,27.0,3840 x 2160,,7,IPS,16:9,449.99
MSI,Optix MAG161V,15.6,1920 x 1080,60,,IPS,16:9,199.99
Acer,KG241Q bmiix,23.6,1920 x 1080,75,1,TN,16:9,
Dell,SE2417HG,23.6,1920 x 1080,60,1,TN,16:9,189.99
Philips,273V7QJAB,27.0,1920 x 1080,60,4,IPS,16:9,149.99
Asus,VP348QGL,34.0,3440 x 1440,75,4,VA,21:9,439.00
MSI,Optix MAG24C,23.6,1920 x 1080,144,1,VA,16:9,
Acer,KG221Q,21.5,1920 x 1080,75,1,TN,16:9,
Samsung,C27F591,27.0,1920 x 1080,60,4,VA,16:9,249.99
LG,34UC79G-B,34.0,2560 x 1080,144,5,IPS,21:9,1817.23
Acer,Predator XN253Q Xbmiprzx,24.5,1920 x 1080,240,1,TN,16:9,
Acer,VG270 bmiix,27.0,1920 x 1080,75,,IPS,16:9,174.00
AOC,20E1H,19.5,1600 x 900,60,5,TN,16:9,85.98
Samsung,S24E650PL,23.6,1920 x 1080,60,4,PLS,16:9,179.99
Acer,KG251QF,24.5,1920 x 1080,144,1,TN,16:9,
Samsung,LC43J890DKNXZA,43.0,3840 x 1200,120,5,VA,16:5,749.99
Deco Gear,VIEW101,35.0,2560 x 1080,144,4,VA,21:9,299.99
AOPEN,32HC1QUR Pbidpx,31.5,2560 x 1440,144,,VA,16:9,299.99
LG,34GK950G-B,34.0,3440 x 1440,120,1,IPS,21:9,1199.90
MSI,Optix MAG322CR,31.5,1920 x 1080,180,,VA,16:9,374.00
Asus,VP248QGL,24.0,1920 x 1080,75,1,TN,16:9,274.42
HP,F4M97A8#ABA,17.0,1280 x 1024,60,5,TN,5:4,76.98
LG,34UC98,34.0,3440 x 1440,60,5,IPS,21:9,2598.90
MSI,Optix MPG27CQ,27.0,2560 x 1440,144,1,VA,16:9,
HP,OMEN 25,24.5,1920 x 1080,144,1,TN,16:9,
Acer,VW237Q,22.5,1920 x 1200,60,4,IPS,16:10,108.99
BenQ,XL2430,24.0,1920 x 1080,144,1,TN,16:9,
Dell,Alienware AW3418HW,34.1,2560 x 1080,120,4,IPS,21:9,
Asus,ProArt PA34VC,34.0,3440 x 1440,100,5,IPS,21:9,947.99
LG,32UL950-W,32.0,3840 x 2160,60,5,IPS,16:9,1154.99
Acer,KG271B,27.0,1920 x 1080,240,1,TN,16:9,
VIOTEK,GNV34CB,34.0,2560 x 1080,100,8,VA,21:9,299.99
Dell,P2219H,21.5,1920 x 1080,60,5,IPS,16:9,154.88
Acer,ED242QR Abidpx,23.6,1920 x 1080,144,4,VA,16:9,295.83
Dell,SE2717H,27.0,1920 x 1080,75,6,IPS,16:9,361.86
Samsung,890 LC34H890WGNXGO,34.0,3440 x 1440,100,4,VA,21:9,590.00
MSI,Optix MAG321CURV,31.5,3840 x 2160,60,4,VA,16:9,
Samsung,LS34J550WQUXEN,34.1,3440 x 1440,60,4,VA,21:9,
HP,27fh,27.0,1920 x 1080,,5,IPS,16:9,
Acer,VG240Y Sbmiipx,23.8,1920 x 1080,165,2,IPS,16:9,
Samsung,LC27F396FHNXZA,27.0,1920 x 1080,60,4,VA,16:9,
Acer,XB273K Sbmiprzx,27.0,3840 x 2160,144,4,IPS,16:9,1198.88
ViewSonic,XG2530,25.0,1920 x 1080,240,1,TN,16:9,289.99
Asus,VE248Q,24.0,1920 x 1080,,2,,16:9,129.98
Acer,CB272 bmiprx,27.0,1920 x 1080,75,,IPS,16:9,239.99
Dell,E2016HV,19.5,1600 x 900,60,5,TN,16:9,92.05
Nixeus,NX-EDG34S,34.0,3440 x 1440,144,4,VA,21:9,549.99
Samsung,LU32J590UQUXEN,32.0,3840 x 2160,60,4,VA,16:9,833.00
Samsung,G7 LC32T550FDNXZA,31.5,1920 x 1080,75,4,VA,16:9,219.99
ViewSonic,VX2758-C-MH,27.0,1920 x 1080,144,5,VA,16:9,239.94
Asus,VC239H,23.0,1920 x 1080,60,5,IPS,16:9,349.00
HP,27es,27.0,1920 x 1080,60,7,IPS,16:9,
LG,32GK650G-B,32.0,2560 x 1440,165,5,VA,16:9,599.00
Acer,ET322QK wmiipx,31.5,3840 x 2160,60,4,VA,16:9,354.98
Dell,P2418D,24.0,2560 x 1440,60,5,IPS,16:9,399.00
ViewSonic,VX2478-SMHD,23.8,2560 x 1440,60,4,IPS,16:9,229.99
Acer,EB321HQ Abi,31.5,1920 x 1080,60,4,IPS,16:9,261.12
LG,Neo Blade III,24.0,1920 x 1080,60,5,IPS,16:9,199.99
MSI,Optix MAG27C,27.0,1920 x 1080,144,1,VA,16:9,
Acer,ET322QU,31.5,2560 x 1440,75,4,IPS,16:9,274.99
Asus,VE247H,23.6,1920 x 1080,,2,,16:9,119.99
Samsung,CR500,27.0,1920 x 1080,60,4,VA,16:9,
Asus,VN279QL,27.0,1920 x 1080,,5,TN,16:9,209.00
Acer,Nitro VG270K,27.0,3840 x 2160,60,4,IPS,16:9,
Samsung,C27JG50,27.0,2560 x 1440,144,4,VA,16:9,
Asus,MG279Q,27.0,2560 x 1440,144,4,IPS,16:9,
ViewSonic,VX2252MH,21.5,1920 x 1080,60,2,TN,16:9,107.99
iiyama,G-MASTER GB2560HSU-B1,24.5,1920 x 1080,144,1,TN,16:9,340.00
VIOTEK,NB32CB,32.0,1920 x 1080,75,5,VA,16:9,189.99
BenQ,Zowie RL2455S,24.0,1920 x 1080,75,1,TN,16:9,
LG,32UK550-B,31.5,3840 x 2160,60,4,VA,16:9,319.95
Asus,PB277Q,27.0,2560 x 1440,75,1,TN,16:9,
AOC,27G2E5,27.0,1920 x 1080,75,,IPS,16:9,
VIOTEK,GN27DW,27.0,2560 x 1440,144,5,VA,16:9,
Dell,P2719HC,27.0,1920 x 1080,60,5,IPS,16:9,299.99
VIOTEK,GN32DB,32.0,2560 x 1440,144,4,VA,16:9,
Asus,VS248HR,24.0,1920 x 1080,60,1,TN,16:9,
Acer,XF270HU,27.0,2560 x 1440,144,4,IPS,16:9,
Dell,U2412M,24.0,1920 x 1200,60,8,IPS,16:10,289.99
LG,27BK430H-B,27.0,1920 x 1080,75,5,IPS,16:9,169.99
Samsung,LS24H851QFNXZA,23.8,2560 x 1440,60,5,PLS,16:9,280.34
Lenovo,D24f-10,23.6,1920 x 1080,144,1,TN,16:9,180.99
AOC,G2590PX,24.5,1920 x 1080,144,1,TN,16:9,366.67
MSI,Optix MAG322CQRV,31.5,2560 x 1440,144,1,VA,16:9,
Acer,H236HLbid,23.0,1920 x 1080,60,5,IPS,16:9,
LG,34WK95U,34.0,5120 x 2160,60,5,IPS,64:27,1499.97
Dell,U2414H,23.8,1920 x 1080,60,8,IPS,16:9,412.35
Acer,XB273U GXbmiipruzx,27.0,2560 x 1440,240,1,IPS,16:9,
Monoprice,127772,32.0,3840 x 2160,60,2,IPS,16:9,349.99
Lenovo,Q24i-10,23.8,1920 x 1080,60,4,IPS,16:9,99.99
Acer,V227Q bi,21.5,1920 x 1080,75,4,IPS,16:9,124.94
Asus,VP249HE,23.8,1920 x 1080,60,5,IPS,16:9,134.98
Asus,VZ239H,23.0,1920 x 1080,60,5,IPS,16:9,166.82
LG,32UN650-W,31.5,3840 x 2160,60,5,IPS,16:9,496.99
ViewSonic,XG2560,24.5,1920 x 1080,240,1,TN,16:9,439.00
Acer,XZ321QU bmijpphzx,31.5,2560 x 1440,144,1,VA,16:9,
Acer,XF251Q bmiirx,24.5,1920 x 1080,75,1,TN,16:9,219.99
Samsung,LC24FG70FQNXZA,24.0,1920 x 1080,144,1,VA,16:9,492.44
Asus,VX248H,24.0,1920 x 1080,60,1,TN,16:9,240.81
Asus,Designo Curve MX38VC,38.0,3840 x 1600,75,5,IPS,12:5,899.00
Dell,P2319H,23.0,1920 x 1080,60,5,IPS,16:9,184.99
Asus,Designo MX279HS,27.0,1920 x 1080,76,5,IPS,16:9,189.00
AOC,27E1H,27.0,1920 x 1080,60,5,IPS,16:9,179.99
Samsung,S24D300H,24.0,1920 x 1080,60,2,TN,16:9,
LG,27UD68-P,27.0,3840 x 2160,60,5,IPS,16:9,362.48
Asus,ROG Strix XG27WQ,27.0,2560 x 1440,165,,VA,16:9,
Dell,U3818DW,38.0,3840 x 1600,60,5,IPS,12:5,969.99
Samsung,CF591,27.0,1920 x 1080,60,4,VA,16:9,202.14
Acer,V246HQL bi,23.6,1920 x 1080,60,5,VA,16:9,111.34
Acer,XZ242Q Sbmiiphx,23.6,1920 x 1080,165,,VA,16:9,199.99
Dell,E2216H,21.5,1920 x 1080,60,5,TN,16:9,128.99
BenQ,GL2450HM,24.0,1920 x 1080,60,2,TN,16:9,
LG,27UL850-W,27.0,3840 x 2160,60,5,IPS,16:9,446.99
BenQ,XL2411Z,24.0,1920 x 1080,144,1,TN,16:9,
Acer,Predator CG437K Pbmiiippuzx,43.0,3840 x 2160,120,,VA,16:9,1237.99
BenQ,EW2780,27.0,1920 x 1080,60,5,IPS,16:9,179.99
BenQ,BL2780,27.0,1920 x 1080,60,5,IPS,16:9,199.99
Asus,MG248Q,24.0,1920 x 1080,144,1,TN,16:9,
LG,34WK95U-W,34.0,5120 x 2160,60,5,IPS,64:27,1499.99
ViewSonic,VX2452mh,23.6,1920 x 1080,60,2,TN,16:9,119.99
MSI,Optix MAG272QR,27.0,2560 x 1440,165,1,VA,16:9,
BenQ,EW3280U,32.0,3840 x 2160,60,5,IPS,16:9,599.99
Asus,VX24AH,24.0,2560 x 1440,60,5,IPS,16:9,
BenQ,SW271,27.0,3840 x 2160,60,5,IPS,16:9,1099.00
Acer,VG271 Pbmiipx,27.0,1920 x 1080,144,1,IPS,16:9,299.00
Acer,Predator Z1,31.5,2560 x 1440,165,4,VA,16:9,
BenQ,XL2730Z,27.0,2560 x 1440,144,1,TN,16:9,
Acer,V196HQLAb,18.5,1366 x 768,60,5,TN,16:9,89.94
MSI,Optix MAG271R,27.0,1920 x 1080,165,1,VA,16:9,309.00
ViewSonic,VX2257-MHD,21.5,1920 x 1080,60,2,TN,16:9,104.99
LG,32GK850G-B,31.5,2560 x 1440,165,5,VA,16:9,842.00
Philips,241E1SCA/00,23.6,1920 x 1080,75,4,VA,16:9,
Philips,246E9QDSB,23.8,1920 x 1080,75,4,IPS,16:9,
Acer,Predator Z35P,35.0,3440 x 1440,100,4,VA,21:9,799.99
Pixio,PX275h,27.0,2560 x 1440,95,4,IPS,16:9,309.94
Asus,ROG Strix XG35VQ,35.0,3440 x 1440,100,4,VA,21:9,
Philips,223V5LHSB2,21.5,1920 x 1080,60,5,TN,16:9,
BenQ,XL2720Z,27.0,1920 x 1080,144,1,TN,16:9,
Acer,Predator XB2,24.5,1920 x 1080,240,1,TN,16:9,
Samsung,LU28E590DS/ZA,28.0,3840 x 2160,60,1,TN,16:9,
LG,43UD79-B,42.5,3840 x 2160,60,5,IPS,16:9,709.94
Asus,PB287Q,28.0,3840 x 2160,60,1,TN,16:9,
Acer,EI491CR Pbmiiipx,49.0,3840 x 1080,144,4,VA,32:9,699.99
Planar,PLN2200,21.5,1920 x 1080,60,6,IPS,16:9,99.00
HP,SmartBuy P174,17.0,1280 x 1024,60,5,,5:4,79.00
Acer,Predator X27 bmiiphzx,27.0,3840 x 2160,144,4,IPS,16:9,
Acer,K222HQL bid,21.5,1920 x 1080,60,5,TN,16:9,107.44
Samsung,S22D300NY,21.5,1920 x 1080,60,5,TN,16:9,129.99
HP,22fw,21.5,1920 x 1080,60,5,IPS,16:9,
MSI,Optix MPG341CQRV,34.0,3440 x 1440,120,1,VA,21:9,772.99
LG,29UM60-P,29.0,2560 x 1080,75,5,IPS,21:9,
ViewSonic,VP3268-4K,31.5,3840 x 2160,60,7,IPS,16:9,699.99
VIOTEK,GN27D,27.0,2560 x 1440,144,5,VA,16:9,
Dell,P2415Q,23.8,3840 x 2160,60,,IPS,16:9,488.72
Dell,U2417H,24.0,1920 x 1080,60,6,IPS,16:9,279.00
AOC,AG273QCX,27.0,2560 x 1440,144,1,VA,16:9,
Asus,VX238H,23.0,1920 x 1080,,1,,16:9,499.00
LG,27UD68-W,27.0,3840 x 2160,60,5,IPS,16:9,
LG,34BK95C-W,34.0,3440 x 1440,75,5,IPS,21:9,599.99
ViewSonic,Elite XG350R-C,35.0,3440 x 1440,100,3,VA,21:9,599.99
VIOTEK,SUW49C,49.0,3840 x 1080,144,4,VA,32:9,
LG,34WK650-W,34.0,2560 x 1080,60,5,IPS,21:9,396.99
Asus,VS207T-P,19.5,1600 x 900,,5,TN,16:9,85.99
Acer,B226WLymdr,22.0,1680 x 1050,60,5,TN,16:10,140.22
Asus,VS278Q-P,27.0,1920 x 1080,,1,,16:9,199.94
ViewSonic,VP2785-4K,27.0,3840 x 2160,60,7,IPS,16:9,749.99
Asus,VP228DE,22.8,1920 x 1080,60,5,TN,16:9,209.00
Acer,XB281HK bmiprz,28.0,3840 x 2160,60,1,TN,16:9,900.00
MSI,Optix MAG270VC,27.0,1920 x 1080,144,1,VA,16:9,
BenQ,EW2480,23.8,1920 x 1080,75,5,IPS,16:9,159.99
Samsung,S22E200B,21.5,1920 x 1080,60,5,TN,16:9,104.99
Asus,VS247HR,23.6,1920 x 1080,60,2,TN,16:9,207.23
MSI,Optix MAG241CR,23.6,1920 x 1080,144,1,VA,16:9,
BenQ,GW2270,21.5,1920 x 1080,60,5,VA,16:9,
ViewSonic,XG240R,24.0,1920 x 1080,144,1,TN,16:9,239.99
Asus,MG28UQ,28.0,3840 x 2160,60,1,TN,16:9,
Acer,Nitro XV270U,27.0,2560 x 1440,75,,IPS,16:9,
iiyama,XUB3493WQSU-B1,34.0,3440 x 1440,75,4,IPS,21:9,530.17
Asus,VA325H,31.5,1920 x 1080,60,5,IPS,16:9,201.39
BenQ,SW240,24.1,1920 x 1200,60,5,IPS,16:10,399.99
LG,25UM58,25.0,2560 x 1080,75,5,IPS,21:9,
Acer,V226HQL Bbi,21.5,1920 x 1080,60,5,TN,16:9,93.82
Sceptre,C248W-1920R,23.6,1920 x 1080,75,5,VA,16:9,219.99
Nixeus,NX-EDG27S v2,27.0,2560 x 1440,144,4,AHVA,16:9,324.99
Dell,E2720H,27.0,1920 x 1080,60,5,IPS,16:9,183.00
LG,25UM56-P,25.0,2560 x 1080,60,5,IPS,21:9,199.99
Acer,Nitro VG240YU,23.8,2560 x 1440,75,1,IPS,16:9,
Acer,Nitro XF252Q,24.5,1920 x 1080,240,1,TN,16:9,
Acer,KA272 bi,27.0,1920 x 1080,75,,IPS,16:9,
Samsung,LS27R750QENXZA,27.0,2560 x 1440,144,4,VA,16:9,1003.67
Samsung,S27E450D,27.0,1920 x 1080,60,5,TN,16:9,198.30
Lenovo,Y25F-10,24.5,1920 x 1080,144,,TN,16:9,299.99
Samsung,LC32JG50QQNZA,32.0,2560 x 1440,144,4,VA,16:9,
Acer,XZ271U bmijpphzx,27.0,2560 x 1440,144,1,VA,16:9,501.81
AOC,27V2Q,27.0,1920 x 1080,75,5,IPS,16:9,
Acer,G226HQLBbd,21.5,1920 x 1080,60,5,TN,16:9,134.00
Dell,S2419H,24.0,1920 x 1080,60,5,IPS,16:9,249.99
Acer,ET322QU Abmiprx,31.5,2560 x 1440,75,4,IPS,16:9,253.00
Philips,346B1C,34.0,3440 x 1440,100,5,VA,21:9,486.99
ViewSonic,VX3211-4K-MHD,31.5,3840 x 2160,60,,VA,16:9,399.99
Asus,VE278Q,27.0,1920 x 1080,,2,,16:9,169.00
MSI,Optix MAG240VC,23.6,1920 x 1080,144,1,VA,16:9,
Cooler Master,GM34-CW,34.0,3440 x 1440,144,,VA,21:9,
AOC,G2460PG,24.0,1920 x 1080,144,1,TN,16:9,
VIOTEK,GN34CW,34.0,3440 x 1440,100,4,VA,21:9,
BenQ,XL2430T,24.0,1920 x 1080,144,1,TN,16:9,
HP,Pavilion 27q,27.0,2560 x 1440,60,5,PLS,16:9,279.99
Samsung,U28H750,27.9,3840 x 2160,60,1,TN,16:9,
AOC,AGON AG273QCG,27.0,2560 x 1440,165,1,TN,16:9,
AOC,Q3279VWF,31.5,2560 x 1440,75,5,VA,16:9,505.00
Philips,223V5LSB,21.5,1920 x 1080,60,5,TN,16:9,
AOC,AGON AG322QCX,31.5,2560 x 1440,144,4,VA,16:9,
AOC,AG271QG,27.0,2560 x 1440,165,4,IPS,16:9,
VIOTEK,GN24CB,24.0,1920 x 1080,144,3,VA,16:9,
MSI,Oculux NXG252R,24.5,1920 x 1080,240,1,TN,16:9,
Acer,NITRO QG221Q bii,21.5,1920 x 1080,75,,VA,16:9,
Acer,B277U bmiipprzx,27.0,2560 x 1440,75,4,IPS,16:9,379.99
Acer,B247Y bmiprx,23.8,1920 x 1080,75,4,IPS,16:9,149.99
LG,29WL50S-B,29.0,2560 x 1080,75,5,IPS,21:9,
LG,34CB99-W,34.0,3440 x 1440,60,5,IPS,21:9,699.00
Asus,MX27UC,27.0,3840 x 2160,60,5,IPS,16:9,551.69
Asus,VZ229HE,21.5,1920 x 1080,60,5,IPS,16:9,
BenQ,BL2480,23.8,1920 x 1080,60,5,IPS,16:9,129.34
LG,38UC99-W,37.5,3840 x 1600,75,5,IPS,12:5,914.99
Philips,BDM4350UC/00,42.5,3840 x 2160,60,5,IPS,16:9,644.79
Lenovo,ThinkVision S24e-10,23.8,1920 x 1080,60,,VA,16:9,109.00
AOC,I2481FXH,23.8,1920 x 1080,60,4,IPS,16:9,229.07
Acer,V246HLbd,24.0,1920 x 1080,60,5,TN,16:9,114.99
ViewSonic,VG2436wm-LED,24.0,1920 x 1080,,5,,16:9,
Asus,MX279H,27.0,1920 x 1080,,5,IPS,16:9,
Dell,U2515H,25.0,2560 x 1440,60,6,IPS,16:9,
Philips,242E1GSJ/27,23.8,1920 x 1080,144,4,VA,16:9,
Lenovo,ThinkVision P27q-20,27.0,2560 x 1440,60,4,IPS,16:9,249.00
V7,L238E-2N,23.8,1920 x 1080,60,5,IPS,16:9,165.00
ViewSonic,VX3258-2KC-MHD,31.5,2560 x 1440,144,5,VA,16:9,
Sceptre,C345W-2560UN,34.0,2560 x 1080,100,6,VA,21:9,342.78
HP,Pavilion 32,32.0,2560 x 1440,60,7,VA,16:9,389.94
LG,32MA68HY-P,32.0,1920 x 1080,60,5,IPS,16:9,
Apple,LED Cinema,27.0,2560 x 1440,,12,IPS,16:9,
LG,22MP68VQ-P,21.5,1920 x 1080,60,5,IPS,16:9,
Prism,M27EQ,27.0,2560 x 1440,165,1,TN,16:9,
LG,32UD99-W,31.5,3840 x 2160,60,5,IPS,16:9,849.95
Dell,E1920H,18.5,1366 x 768,60,5,TN,16:9,104.98
BenQ,XL2420T,24.0,1920 x 1080,120,5,TN,16:9,
Acer,G276HLGbd,27.0,1920 x 1080,60,6,,16:9,
Acer,B227Q bmipr,21.5,1920 x 1080,75,4,IPS,16:9,142.52
AOC,AGON AG273QX,27.0,2560 x 1440,165,,VA,16:9,
LG,34UC88,34.0,3440 x 1440,60,5,IPS,21:9,549.00
Asus,MX34VQ,34.0,3440 x 1440,100,4,VA,21:9,659.99
BenQ,GW2765HT,27.0,2560 x 1440,60,4,IPS,16:9,899.00
Dell,U2717D,27.0,2560 x 1440,60,6,IPS,16:9,498.00
Acer,XB321HK BMIPHZ,32.0,3840 x 2160,60,4,IPS,16:9,1184.94
Samsung,S22E450B,21.5,1920 x 1080,60,5,TN,16:9,104.99
Dell,U2518D,25.0,2560 x 1440,60,5,IPS,16:9,399.99
BenQ,RL2755HM,27.0,1920 x 1080,60,1,TN,16:9,
Philips,43BDL3010Q,42.5,1920 x 1080,60,6.5,VA,16:9,450.70
Acer,X38P,37.5,3840 x 1600,175,,IPS,12:5,
Asus,VG255H,24.5,1920 x 1080,75,1,TN,16:9,
Philips,226E9QDSB,21.5,1920 x 1080,75,4,IPS,16:9,
BenQ,SW2700PT,27.0,2560 x 1440,60,5,IPS,16:9,599.00
Asus,PG27AQ,27.0,3840 x 2160,60,4,IPS,16:9,
Sceptre,U275W-4000R,27.0,3840 x 2160,60,5,IPS,16:9,
HP,EliteDisplay E233,23.0,1920 x 1080,60,,IPS,16:9,169.99
BenQ,GL2760H,27.0,1920 x 1080,60,2,TN,16:9,
BenQ,XL2720T,27.0,1920 x 1080,120,1,TN,16:9,
