brand,model,capacity,price_per_gb,type,cache,form_factor,interface,price
Western Digital,SN520,256 GB,$0.248,SSD,,M.2-2280,M.2 (B+M),63.49
Western Digital,ScorpioBlue,320 GB,$0.125,5400RPM,8,"2.5""",SATA 3 Gb/s,39.99
Samsung,Spinpoint M9T,2 TB,$0.044,5400RPM,32,"2.5""",SATA 6 Gb/s,88.99
Crucial,MX300,525 GB,$0.381,SSD,,M.2-2280,M.2 (B+M),199.99
Toshiba,HDD3A02,1 TB,$0.145,7200RPM,16,"3.5""",SAS 6 Gb/s,145.00
Samsung,MZ-750250BW,250 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Mushkin,Source,120 GB,$0.200,SSD,,"2.5""",SATA 6 Gb/s,23.99
Seagate,ST1000NX0313,1 TB,$0.070,7200RPM,128,"2.5""",SATA 6 Gb/s,70.00
Patriot,VPR100 RGB,512 GB,$0.186,SSD,,M.2-2280,M.2 (M),94.99
Seagate,SkyHawk Surveillance,12 TB,,7200RPM,256,"3.5""",SATA 6 Gb/s,
Western Digital,WDBlue,1 TB,$0.099,5400RPM,8,"2.5""",SATA 6 Gb/s,98.89
Western Digital,Green,4 TB,,5900RPM,64,"3.5""",SATA 6 Gb/s,
Pioneer,APS-SE20G-1T,1 TB,$0.115,SSD,,M.2-2280,M.2 (M),114.99
Seagate,Barracuda,750 GB,$0.067,7200RPM,32,"3.5""",SATA 3 Gb/s,49.99
Seagate,Momentus Thin,320 GB,$0.076,7200RPM,16,"2.5""",SATA 3 Gb/s,24.37
Western Digital,WDBlue,750 GB,$0.067,5400RPM,8,"2.5""",SATA 6 Gb/s,49.89
Hitachi,Deskstar,1 TB,$0.048,7200RPM,32,"3.5""",SATA 3 Gb/s,47.99
Intel,600p Series,128 GB,$0.499,SSD,,M.2-2280,M.2 (M),63.90
Lexar,NS100,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Samsung,PM981,1 TB,$0.220,SSD,,M.2-2280,M.2 (M),219.99
Kingston,KC2000,1 TB,$0.196,SSD,,M.2-2280,M.2 (M),195.99
Kingston,UV500,240 GB,$0.187,SSD,,M.2-2280,M.2 (B+M),44.98
Western Digital,RedSA500,2 TB,$0.125,SSD,,"2.5""",SATA 6 Gb/s,249.99
Seagate,SkyHawk AI,12 TB,$0.027,7200RPM,256,"3.5""",SATA 6 Gb/s,326.08
Patriot,VPR100 RGB,1 TB,$0.165,SSD,,M.2-2280,M.2 (M),164.95
Toshiba,MBF245LRC,450 GB,,10025RPM,16,"2.5""",SATA 6 Gb/s,
Crucial,M500,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Patriot,P300,512 GB,$0.121,SSD,,M.2-2280,M.2 (M),61.99
OCZ,Vertex 2 EX,200 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Crucial,MX300,750 GB,,SSD,,"2.5""",SATA 6 Gb/s,
ADATA,XPG SX8200,480 GB,$0.211,SSD,,M.2-2280,M.2 (M),101.38
Intenso,High Performance,960 GB,$0.174,SSD,,"2.5""",SATA 6 Gb/s,167.24
Toshiba,MQ01ABD100,1 TB,,5400RPM,8,"2.5""",SATA 3 Gb/s,
Samsung,PM863,3.84 TB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Pipeline HD,500 GB,,5900RPM,8,"3.5""",SATA 3 Gb/s,
Kingston,KC2500,2 TB,$0.200,SSD,,M.2-2280,M.2 (M),399.54
Western Digital,CaviarBlue,320 GB,$0.094,7200RPM,8,"3.5""",SATA 3 Gb/s,29.99
Seagate,Barracuda Green,2 TB,$0.050,5900RPM,64,"3.5""",SATA 6 Gb/s,99.99
XPG,SX6000 Lite,256 GB,,SSD,,M.2-2280,M.2 (M),
Seagate,ST4000DX001,4 TB,,Hybrid,64,"3.5""",SATA 6 Gb/s,
Lexar,NS100,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,MG06ACA10TE,10 TB,$0.022,7200RPM,256,"3.5""",SATA 6 Gb/s,224.99
Western Digital,Blue,250 GB,$0.380,SSD,,"2.5""",SATA 6 Gb/s,94.99
Seagate,IronWolf NAS,10 TB,$0.028,7200RPM,256,"3.5""",SATA 6 Gb/s,279.99
Seagate,BarraCuda Pro,6 TB,,7200RPM,256,"3.5""",SATA 6 Gb/s,
PNY,CS2030,240 GB,$0.229,SSD,,M.2-2280,M.2 (M),54.99
Western Digital,VelociRaptor,300 GB,$0.160,10000RPM,16,"2.5""",SATA 3 Gb/s,47.99
Intel,600p Series,256 GB,,SSD,,M.2-2280,M.2 (M),
Western Digital,CaviarBlack,2 TB,$0.067,7200RPM,32,"3.5""",SATA 3 Gb/s,134.49
Samsung,SM951,256 GB,$0.872,SSD,512,M.2-2280,M.2 (M),223.25
V7,S6000,500 GB,$0.134,SSD,,M.2-2280,M.2 (B+M),66.99
Western Digital,CaviarGreen,1.5 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Western Digital,RE4,2 TB,$0.040,7200RPM,64,"3.5""",SATA 3 Gb/s,80.00
ADATA,Ultimate SU650,120 GB,$0.293,SSD,,"2.5""",SATA 6 Gb/s,35.18
Kingston,KC2500,250 GB,$0.280,SSD,,M.2-2280,M.2 (M),70.02
XPG,SX6000 Lite,1 TB,,SSD,,M.2-2280,M.2 (M),
Western Digital,CaviarBlue,160 GB,$0.165,7200RPM,8,"3.5""",SATA 3 Gb/s,26.40
Western Digital,CaviarGreen,500 GB,,5400RPM,64,"3.5""",SATA 6 Gb/s,
Kingston,SSDNOW DC500R,3.84 TB,$0.163,SSD,,"2.5""",SATA 6 Gb/s,625.29
Western Digital,Gold,1 TB,$0.078,7200RPM,128,"3.5""",SATA 6 Gb/s,77.89
ADATA,Ultimate SU650,480 GB,$0.145,SSD,,"2.5""",SATA 6 Gb/s,69.37
Western Digital,CaviarBlue,1 TB,$0.132,7200RPM,32,"3.5""",SATA 3 Gb/s,132.09
Kingston,HyperX 3K,120 GB,$1.463,SSD,,"2.5""",SATA 6 Gb/s,175.51
Silicon Power,US70,2 TB,$0.160,SSD,,M.2-2280,M.2 (M),319.99
KingDian,S280,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Western Digital,RedSA500,1 TB,$0.120,SSD,,M.2-2280,M.2 (B+M),119.99
Inland,Performance,2 TB,$0.180,SSD,,M.2-2280,M.2 (M),359.99
Hitachi,Deskstar,3 TB,$0.033,7200RPM,64,"3.5""",SATA 6 Gb/s,99.29
Toshiba,MQ02ABD100H,1 TB,$0.075,Hybrid,64,"2.5""",SATA 6 Gb/s,75.00
Samsung,840 Series,250 GB,,SSD,,"2.5""",SATA 6 Gb/s,
PNY,CS2030,480 GB,$0.167,SSD,,M.2-2280,M.2 (M),79.98
Patriot,VPR100 RGB,2 TB,$0.155,SSD,,M.2-2280,M.2 (M),309.95
Patriot,P300,256 GB,$0.144,SSD,,M.2-2280,M.2 (M),36.98
Toshiba,X300,10 TB,$0.028,7200RPM,256,"3.5""",SATA 6 Gb/s,277.47
Western Digital,RedSA500,500 GB,$0.135,SSD,,"2.5""",SATA 6 Gb/s,67.48
Intenso,Top Performance,256 GB,$0.336,SSD,,M.2-2280,M.2 (B+M),86.00
Seagate,IronWolf Pro,6 TB,$0.036,7200RPM,256,"3.5""",SATA 6 Gb/s,213.99
Western Digital,Ae,6 TB,$0.033,5760RPM,64,"3.5""",SATA 6 Gb/s,200.00
Samsung,Spinpoint F1 DT,160 GB,$0.156,7200RPM,8,"3.5""",SATA 3 Gb/s,24.99
Mushkin,Source,250 GB,$0.164,SSD,,"2.5""",SATA 6 Gb/s,40.99
Seagate,Barracuda,1.5 TB,$0.053,7200RPM,32,"3.5""",SATA 3 Gb/s,79.50
Seagate,Enterprise Capacity,8 TB,$0.025,7200RPM,256,"3.5""",SATA 6 Gb/s,199.00
Toshiba,Q Series,128 GB,$0.664,SSD,,"2.5""",SATA 6 Gb/s,84.98
Western Digital,CaviarGreen,2 TB,$0.045,5400RPM,64,"3.5""",SATA 6 Gb/s,89.99
ADATA,Premier SP550,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,MG07ACA12TE,12 TB,$0.022,7200RPM,256,"3.5""",SATA 6 Gb/s,268.99
Seagate,BarraCuda,3 TB,$0.047,5400RPM,128,"2.5""",SATA 6 Gb/s,140.11
Western Digital,RedSA500,1 TB,$0.120,SSD,,"2.5""",SATA 6 Gb/s,119.99
V7,S6000,1 TB,$0.124,SSD,,M.2-2280,M.2 (B+M),123.79
Western Digital,ScorpioBlue,500 GB,$0.061,5400RPM,8,"2.5""",SATA 3 Gb/s,30.35
Seagate,Barracuda,2 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Crucial,MX300,1.05 TB,$0.476,SSD,,"2.5""",SATA 6 Gb/s,499.98
Western Digital,ScorpioBlue,750 GB,$0.180,5200RPM,8,"2.5""",SATA 3 Gb/s,135.00
Intel,DC S3610,1.6 TB,$0.556,SSD,,"2.5""",SATA 6 Gb/s,890.00
Crucial,MX100,128 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Western Digital,Black,5 TB,,7200RPM,128,"3.5""",SATA 6 Gb/s,
Western Digital,CaviarBlack,4 TB,$0.064,7200RPM,128,"3.5""",SATA 6 Gb/s,256.61
Kingston,Q500,960 GB,$0.106,SSD,,"2.5""",SATA 6 Gb/s,101.59
Seagate,Barracuda ES,1 TB,$0.050,7200RPM,32,"3.5""",SATA 3 Gb/s,49.99
Seagate,BarraCuda Pro,2 TB,,7200RPM,128,"3.5""",SATA 6 Gb/s,
Intel,DC P4511,2 TB,,SSD,,M.2-22110,M.2 (M),
Seagate,EXOS Enterprise,4 TB,$0.036,7200RPM,128,"3.5""",SATA 6 Gb/s,144.99
Western Digital,RedPro,12 TB,$0.033,7200RPM,256,"3.5""",SATA 6 Gb/s,399.99
Western Digital,WDPurple,4 TB,$0.024,5400RPM,64,"3.5""",SATA 6 Gb/s,97.99
Western Digital,WDBSLA0040HNC-NRSN,4 TB,$0.045,7200RPM,32,"3.5""",SATA 3 Gb/s,178.55
ADATA,XPG SX6000,256 GB,$0.415,SSD,,M.2-2280,M.2 (M),106.28
Seagate,BarraCuda Pro Compute,12 TB,$0.027,7200RPM,256,"3.5""",SATA 6 Gb/s,324.02
Kingston,KC2000,500 GB,$0.337,SSD,,M.2-2280,M.2 (M),168.50
Intenso,High Performance,240 GB,$0.358,SSD,,"2.5""",SATA 6 Gb/s,86.00
Kingston,SSDNow V300 Series,60 GB,$2.133,SSD,,"2.5""",SATA 6 Gb/s,127.99
Kingston,SSDNow KC400,1 TB,,SSD,,"2.5""",SATA 6 Gb/s,
Lexar,NM500,512 GB,,SSD,,M.2-2280,M.2 (B+M),
Transcend,TS128GSSD230S,128 GB,$0.237,SSD,,"2.5""",SATA 6 Gb/s,30.33
ADATA,XPG SX6000,512 GB,$0.426,SSD,,M.2-2280,M.2 (M),218.00
Western Digital,Blue,1 TB,,SSD,,M.2-2280,M.2 (B+M),
Samsung,845DC EVO,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Intel,545s,512 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Samsung,830 Series,128 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,ST1000DM004,1 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Kingston,UV500,480 GB,$0.152,SSD,,M.2-2280,M.2 (B+M),73.06
Seagate,Enterprise Capacity,1 TB,,7200RPM,128,"3.5""",SATA 6 Gb/s,
Samsung,830 Series,256 GB,$1.562,SSD,,"2.5""",SATA 6 Gb/s,399.98
XPG,SX6000 Lite,128 GB,,SSD,,M.2-2280,M.2 (M),
SanDisk,SSD PLUS,240 GB,$0.314,SSD,,"2.5""",SATA 6 Gb/s,75.44
Crucial,BX200,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Team,L5 LITE 3D,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Constellation ES,1 TB,$0.053,7200RPM,32,"3.5""",SATA 3 Gb/s,52.99
Toshiba,OCZ TR200,480 GB,$0.324,SSD,,"2.5""",SATA 6 Gb/s,155.74
Western Digital,Black,1 TB,,7200RPM,32,"2.5""",SATA 6 Gb/s,
ADATA,XPG SX6000,1 TB,,SSD,,M.2-2280,M.2 (M),
Mushkin,Enhanced Pilot-E,500 GB,$0.136,SSD,,M.2-2280,M.2 (M),67.98
Seagate,ST1000LM014,1 TB,$0.090,Hybrid,64,"2.5""",SATA 6 Gb/s,89.99
SK,hynix SL308,250 GB,$0.260,SSD,,"2.5""",SATA 6 Gb/s,64.89
Seagate,SV35.5,500 GB,$0.070,5900RPM,16,"3.5""",SATA 3 Gb/s,34.99
Western Digital,WDPurple,1 TB,,5900RPM,64,"3.5""",SATA 6 Gb/s,
Corsair,Neutron NX500,800 GB,,SSD,,PCI-E,PCIe x1,
Maxtor,7Y250M0,250 GB,,7200RPM,8,"3.5""",SATA 1.5 Gb/s,
Toshiba,MQ04ABD200,2 TB,$0.035,5400RPM,128,"2.5""",SATA 6 Gb/s,69.88
Hitachi,Ultrastar,500 GB,$0.060,7200RPM,32,"3.5""",SATA 3 Gb/s,30.25
ADATA,SU800,512 GB,$0.160,SSD,,M.2-2280,M.2 (B+M),81.91
Seagate,BarraCuda 120,250 GB,$0.248,SSD,,"2.5""",SATA 6 Gb/s,61.95
Seagate,Pipeline HD,1 TB,,5900RPM,64,"3.5""",SATA 3 Gb/s,
Transcend,220S,1 TB,$0.139,SSD,,M.2-2280,M.2 (M),138.96
Intenso,High Performance,480 GB,$0.275,SSD,,"2.5""",SATA 6 Gb/s,132.00
Seagate,IronWolf NAS,14 TB,$0.029,7200RPM,256,"3.5""",SATA 6 Gb/s,406.94
Seagate,EXOS Enterprise,4 TB,$0.038,7200RPM,256,"3.5""",SATA 6 Gb/s,154.00
Mushkin,Reactor,1 TB,,SSD,,"2.5""",SATA 6 Gb/s,
Lexar,NM600,480 GB,$0.271,SSD,,M.2-2280,M.2 (M),129.99
Team,T-FORCE DELTA RGB,500 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Barracuda,500 GB,$0.116,7200RPM,32,"3.5""",SATA 3 Gb/s,57.99
Seagate,Barracuda 7200.12,500 GB,,7200RPM,16,"3.5""",SATA 3 Gb/s,
Toshiba,HDD2K12,750 GB,,5400RPM,8,"2.5""",SATA 3 Gb/s,
Western Digital,Purple,3 TB,$0.033,5400RPM,64,"3.5""",SATA 6 Gb/s,97.99
Western Digital,RE,3 TB,$0.032,7200RPM,64,"3.5""",SATA 6 Gb/s,96.11
Samsung,840 Pro Series,512 GB,$0.986,SSD,,"2.5""",SATA 6 Gb/s,504.98
Micron,1100,2 TB,$0.185,SSD,,"2.5""",SATA 6 Gb/s,370.00
Toshiba,MQ01ABD032,320 GB,$0.072,5400RPM,8,"2.5""",SATA 3 Gb/s,22.99
Plextor,M5P Series,512 GB,,SSD,768,"2.5""",SATA 6 Gb/s,
ADATA,XPG SX8200,960 GB,$0.177,SSD,,M.2-2280,M.2 (M),169.55
Intenso,Top Performance,128 GB,$0.539,SSD,,M.2-2280,M.2 (B+M),69.00
Patriot,Scorch,128 GB,$0.312,SSD,,M.2-2280,M.2 (B+M),39.99
SK,hynix Gold S31,250 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Intel,660p,1 TB,,SSD,,M.2-2280,M.2 (M),
Samsung,PM981,256 GB,,SSD,,M.2-2280,M.2 (M),
ADATA,XPG GAMMIX S50 Lite,2 TB,$0.130,SSD,,M.2-2280,M.2 (M),259.99
Seagate,ST4000NM0024,4 TB,$0.044,7200RPM,128,"3.5""",SATA 6 Gb/s,175.00
Crucial,MX300,1.05 TB,$0.286,SSD,,M.2-2280,M.2 (B+M),299.95
ADATA,Ultimate SU650,960 GB,$0.112,SSD,,"2.5""",SATA 6 Gb/s,107.08
Corsair,MP300,960 GB,,SSD,,M.2-2280,M.2 (B+M),
Crucial,M500,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Crucial,MX200,250 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,IronWolf 510,1.92 TB,$0.234,SSD,,M.2-2280,M.2 (M),449.99
Intenso,3812450,512 GB,$0.256,SSD,,"2.5""",SATA 6 Gb/s,131.00
Western Digital,WDBH2D0030HNC-NRSN,3 TB,$0.025,5900RPM,32,"3.5""",SATA 3 Gb/s,75.99
Transcend,TS240GSSD220S,240 GB,$0.145,SSD,,"2.5""",SATA 6 Gb/s,34.81
Western Digital,CaviarBlue,80 GB,$0.695,7200RPM,8,"3.5""",SATA 3 Gb/s,55.59
Western Digital,CaviarGreen,500 GB,$0.081,5400RPM,16,"3.5""",SATA 3 Gb/s,40.49
Seagate,EXOS Enterprise,6 TB,$0.031,7200RPM,256,"3.5""",SATA 6 Gb/s,184.00
Toshiba,P300,2 TB,$0.083,7200RPM,64,"3.5""",SATA 6 Gb/s,165.00
Seagate,Barracuda Compute,512 GB,$0.239,SSD,,M.2-2280,M.2 (M),122.14
Kingston,SSDNow UV400,480 GB,$0.248,SSD,,"2.5""",SATA 6 Gb/s,118.93
Kingston,DC450R,3.84 TB,$0.115,SSD,,"2.5""",SATA 6 Gb/s,443.23
Seagate,Barracuda,250 GB,$0.120,7200RPM,8,"3.5""",SATA 3 Gb/s,29.99
ADATA,Premier Pro SP600,128 GB,$0.641,SSD,,"2.5""",SATA 6 Gb/s,82.04
Western Digital,BLACKSERIES,320 GB,$0.141,7200RPM,16,"2.5""",SATA 6 Gb/s,45.00
Western Digital,WDBlue,320 GB,$0.109,5400RPM,8,"2.5""",SATA 6 Gb/s,34.99
XPG,GAMMIX S10,1 TB,,SSD,,M.2-2280,M.2 (M),
HP,EX900,1 TB,$0.130,SSD,,M.2-2280,M.2 (M),129.99
Seagate,STCL4000400,4 TB,,Hybrid,64,"3.5""",SATA 6 Gb/s,
SanDisk,X400,512 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Skyhawk AI,8 TB,$0.026,7200RPM,256,"3.5""",SATA 6 Gb/s,204.99
Intenso,3812440,256 GB,$0.336,SSD,,"2.5""",SATA 6 Gb/s,86.00
Seagate,Constellation ES.3,1 TB,$0.080,7200RPM,128,"3.5""",SATA 6 Gb/s,79.98
Western Digital,CaviarGreen,3 TB,$0.044,5400RPM,64,"3.5""",SATA 3 Gb/s,131.04
SanDisk,X600,1 TB,$0.169,SSD,,M.2-2280,M.2 (B+M),168.58
Transcend,110S,1 TB,$0.127,SSD,,M.2-2280,M.2 (M),126.52
Seagate,Exos X14,10 TB,$0.025,7200RPM,256,"3.5""",SATA 6 Gb/s,249.99
VisionTek,PRO,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
PNY,CS1311,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Barracuda Computer,1 TB,$0.130,SSD,,"2.5""",SATA 6 Gb/s,130.00
Intel,520 Series Cherryville,180 GB,$0.472,SSD,,"2.5""",SATA 6 Gb/s,85.00
Kingston,Savage,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Corsair,Neutron NX500,400 GB,,SSD,,PCI-E,PCIe x4,
Samsung,MZ1LV960HCJH,960 GB,,SSD,,M.2-22110,M.2 (M),
Pioneer,APS-SE20G,2 TB,$0.113,SSD,,M.2-2280,M.2 (M),226.99
Hitachi,Travelstar Z7K500,500 GB,,7200RPM,32,"2.5""",SATA 6 Gb/s,
Team,T-Force Cardea,512 GB,$0.162,SSD,,M.2-2280,M.2 (M),82.99
Transcend,MTS400,256 GB,$0.539,SSD,,M.2-2242,M.2 (B+M),137.94
Western Digital,CaviarGreen,1.5 TB,$0.042,5400RPM,64,"3.5""",SATA 3 Gb/s,63.50
Transcend,220S,512 GB,$0.152,SSD,,M.2-2280,M.2 (M),77.98
Crucial,BX100,500 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Kingston,HyperX FURY RGB BUNDLE,960 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,XG5,512 GB,,SSD,,M.2-2280,M.2 (M),
Seagate,Nytro 5000,400 GB,$1.173,SSD,,M.2-22110,M.2 (M),469.00
Western Digital,WDBSLA0020HNC-NRSN,2 TB,$0.050,7200RPM,64,"3.5""",SATA 6 Gb/s,99.95
Western Digital,RE4,500 GB,$0.076,7200RPM,64,"3.5""",SATA 3 Gb/s,38.00
Toshiba,MD04ACA500,5 TB,$0.037,7200RPM,128,"3.5""",SATA 6 Gb/s,185.00
Kingston,SSDNow KC400,128 GB,$0.754,SSD,,"2.5""",SATA 6 Gb/s,96.50
Patriot,P300,1 TB,$0.110,SSD,,M.2-2280,M.2 (M),109.99
Western Digital,RE,4 TB,$0.045,7200RPM,64,"3.5""",SATA 6 Gb/s,179.99
Intel,760p Series,512 GB,$0.321,SSD,,M.2-2280,M.2 (M),164.30
Kingston,KC2000,250 GB,$0.356,SSD,,M.2-2280,M.2 (M),88.94
Toshiba,P300,3 TB,$0.060,7200RPM,64,"3.5""",SATA 6 Gb/s,179.00
Seagate,SkyHawk Surveillance,3 TB,$0.036,5900RPM,256,"3.5""",SATA 6 Gb/s,106.99
Angelbird,WRK XT,4 TB,$0.750,SSD,,"2.5""",SATA 6 Gb/s,2999.90
SanDisk,Ultra Plus,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,HDD3A01,2 TB,$0.080,7200RPM,16,"3.5""",SAS 6 Gb/s,159.99
Samsung,MZ-750120BW,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Crucial,MX300,275 GB,,SSD,,M.2-2280,M.2 (B+M),
Western Digital,BlackSN850(w/Heatsink),2 TB,,SSD,,M.2-2280,M.2 (M),
Kingston,A1000,960 GB,$0.285,SSD,,M.2-2280,M.2 (B+M),273.50
Samsung,Spinpoint F1 DT,1 TB,,7200RPM,32,"3.5""",SATA 3 Gb/s,
Crucial,M4,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Barracuda 7200.10,160 GB,$0.443,7200RPM,8,"3.5""",SATA 3 Gb/s,70.81
Hitachi,HGST Ultra,8 TB,,7200RPM,128,"3.5""",SATA 6 Gb/s,
Patriot,P300,512 GB,$0.117,SSD,,M.2-2280,M.2 (M),59.99
Western Digital,Black2,1 TB,$0.095,Hybrid,,"2.5""",SATA 6 Gb/s,95.48
Transcend,MTS800,32 GB,$1.157,SSD,,M.2-2280,M.2 (B+M),37.01
Samsung,Spinpoint F3R,1 TB,$0.080,7200RPM,32,"3.5""",SATA 3 Gb/s,79.98
Silicon Power,SlimS55,240 GB,$0.292,SSD,,"2.5""",SATA 6 Gb/s,69.98
Western Digital,CaviarBlack,2 TB,,7200RPM,64,"3.5""",SATA 3 Gb/s,
Corsair,Neutron NX500,1.6 TB,,SSD,,PCI-E,PCIe x4,
Verbatim,Vi550,128 GB,$0.214,SSD,,"2.5""",SATA 6 Gb/s,27.37
Transcend,MTS800,64 GB,$0.578,SSD,,M.2-2280,M.2 (B+M),36.98
Kingston,SSDNow V300 Series,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Hitachi,Ultrastar,2 TB,,7200RPM,32,"3.5""",SATA 3 Gb/s,
Patriot,P300,1 TB,,SSD,,M.2-2280,M.2 (M),
Western Digital,Blue,1 TB,$0.207,Hybrid,64,"2.5""",SATA 6 Gb/s,206.89
OCZ,TRION 150,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
HP,Z Turbo Drive PCIe,512 GB,,SSD,,M.2-2280,M.2 (M),
Western Digital,Red(RetailKit),4 TB,$0.022,5400RPM,64,"3.5""",SATA 6 Gb/s,89.98
Intel,Optane 905P Series,1.5 TB,$1.486,SSD,,"2.5""",U.2,2228.99
Lexar,NM600,240 GB,$0.426,SSD,,M.2-2280,M.2 (M),102.34
Angelbird,ED381,3.84 TB,$0.859,SSD,,"2.5""",SATA 6 Gb/s,3299.90
Seagate,ST3000DM002,3 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Seagate,Barracuda Compute,250 GB,$0.360,SSD,,"2.5""",SATA 6 Gb/s,89.99
Toshiba,P300,1 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Samsung,SM951,128 GB,,SSD,256,M.2-2280,M.2 (M),
Seagate,BarraCuda Compute,500 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Western Digital,AV-GP,2 TB,$0.040,5400RPM,64,"3.5""",SATA 6 Gb/s,79.98
Western Digital,WDPurple,2 TB,$0.049,5400RPM,64,"3.5""",SATA 6 Gb/s,98.61
Toshiba,P300,3 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Intel,520 Series Cherryville,240 GB,$2.496,SSD,,"2.5""",SATA 6 Gb/s,599.00
Western Digital,CaviarBlue,750 GB,$0.227,7200RPM,64,"3.5""",SATA 6 Gb/s,170.59
ADATA,XPG SX850,128 GB,$0.508,SSD,,"2.5""",SATA 6 Gb/s,64.98
Seagate,Surveillance HDD,5 TB,$0.089,5400RPM,128,"3.5""",SATA 6 Gb/s,444.28
Corsair,Force Series GT,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
OCZ,Vertex 4,128 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Samsung,850 EVO,120 GB,,SSD,,M.2-2280,M.2 (B+M),
Western Digital,Green,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Western Digital,Blue,500 GB,,SSD,,M.2-2280,M.2 (B+M),
Western Digital,CaviarGreen,1 TB,$0.055,5400RPM,32,"3.5""",SATA 3 Gb/s,54.99
Seagate,Constellation ES.3,4 TB,$0.053,7200RPM,128,"3.5""",SATA 6 Gb/s,212.99
Western Digital,RedPro,10 TB,$0.035,7200RPM,256,"3.5""",SATA 6 Gb/s,349.99
Western Digital,Blue,5 TB,,5400RPM,64,"3.5""",SATA 6 Gb/s,
Intel,DC P4510,8 TB,$0.195,SSD,,"2.5""",U.2,1559.00
OCZ,Colossus 2 Series,460 GB,$2.163,SSD,,"3.5""",SATA 3 Gb/s,995.00
Seagate,Momentus 5400.6,500 GB,$0.072,5400RPM,8,"2.5""",SATA 3 Gb/s,35.99
Intel,730 Series,480 GB,$1.223,SSD,,"2.5""",SATA 6 Gb/s,587.09
SanDisk,Z400s,256 GB,$0.562,SSD,,"2.5""",SATA 6 Gb/s,144.00
Kingston,UV500,480 GB,$0.187,SSD,,"2.5""",SATA 6 Gb/s,89.99
OCZ,Agility 3,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Hitachi,Deskstar NAS,4 TB,$0.056,7200RPM,64,"3.5""",SATA 6 Gb/s,223.33
Kingston,HyperX 3K,240 GB,$1.833,SSD,,"2.5""",SATA 6 Gb/s,439.95
Seagate,Exos 7E8,2 TB,$0.063,7200RPM,256,"3.5""",SATA 6 Gb/s,126.99
SanDisk,SSD PLUS,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Hitachi,Deskstar,500 GB,$0.145,7200RPM,16,"3.5""",SATA 3 Gb/s,72.29
SanDisk,Extreme Pro,240 GB,$0.400,SSD,,"2.5""",SATA 6 Gb/s,95.99
Toshiba,MD04ACA400,4 TB,$0.035,7200RPM,64,"3.5""",SATA 6 Gb/s,138.99
Crucial,M4,128 GB,,SSD,,"2.5""",SATA 6 Gb/s,
XPG,GAMMIX S10,128 GB,,SSD,,M.2-2280,M.2 (M),
Team,MP33,128 GB,,SSD,,M.2-2280,M.2 (M),
ADATA,Falcon,256 GB,,SSD,,M.2-2280,M.2 (M),
Intel,320 Series,160 GB,$0.219,SSD,,"2.5""",SATA 3 Gb/s,34.99
Samsung,850 EVO,1 TB,,SSD,,M.2-2280,M.2 (B+M),
Transcend,TS120GSSD220S,120 GB,$0.217,SSD,,"2.5""",SATA 6 Gb/s,25.99
