brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
VIOTEK,NB24CB,24.0,1920 x 1080,75,5,VA,16:9,
Acer,GF276 Abmipx,27.0,1920 x 1080,165,1,TN,16:9,
Cooler,Master GM27-CF,27.0,1920 x 1080,75,3,IPS,16:9,
LG,34UM68,34.0,2560 x 1080,144,5,VA,21:9,
VIOTEK,GN32DR,31.5,2560 x 1440,70,3,IPS,16:9,
iiyama,ProLite XUB2792QSU-W1,27.0,2560 x 1440,60,5,TN,16:9,404.00
iiyama,G-MASTER GOLD PHOENIX,28.0,3840 x 2160,60,1,IPS,16:9,549.00
LG,27UD88-W,27.0,3840 x 2160,144,5,VA,16:9,496.99
MSI,Optix MPG27C,27.0,1920 x 1080,75,1,IPS,16:9,
ViewSonic,VX2485-MHU,24.0,1920 x 1080,60,5,IPS,16:9,169.99
Asus,ProArt PA32UC,32.0,3840 x 2160,60,5,TN,16:9,
Asus,VP28UQGL,28.0,3840 x 2160,100,1,VA,16:9,
Samsung,C34H890WJN,34.0,3440 x 1440,144,4,TN,21:9,1430.68
Acer,XF240YU bmiidprzx,23.8,2560 x 1440,75,1,IPS,16:9,
Acer,KA272 bi,27.0,1920 x 1080,144,4,VA,16:9,
AOC,AG322QC4,31.5,2560 x 1440,60,1,TN,16:9,
Acer,KG281K bmiipx,28.0,3840 x 2160,75,5,IPS,16:9,389.99
Acer,SB270 Bbix,27.0,1920 x 1080,60,5,IPS,16:9,169.99
Dell,S2719DM,27.0,2560 x 1440,75,7,IPS,16:9,399.61
LG,34UB88-P,34.0,3440 x 1440,75,5,IPS,21:9,999.15
Lenovo,LI2364d,23.0,1920 x 1080,75,4,IPS,16:9,179.00
Acer,XR382CQK bmijqphuzx,37.5,3840 x 1600,100,4,VA,12:5,1064.03
VIOTEK,GN34CB,34.0,3440 x 1440,160,4,VA,21:9,
AOC,C3583FQ,35.0,2560 x 1080,60,5,VA,21:9,
Samsung,C22F390,22.0,1920 x 1080,60,4,IPS,16:9,
Philips,241B8QJEB,23.8,1920 x 1080,60,5,IPS,16:9,168.68
iiyama,Prolite XUB2792UHSU-B1,27.0,3840 x 2160,60,5,PLS,16:9,
Samsung,S24H850,23.8,2560 x 1440,144,5,VA,16:9,304.98
Kogan,KAMN27CQ1LA,27.0,2560 x 1440,60,5,VA,16:9,
HP,27,27.0,1920 x 1080,75,5,IPS,16:9,
LG,34CB88-P,34.0,3440 x 1440,60,4,IPS,21:9,1717.43
LG,32BL95U-W,31.5,3840 x 2160,60,5,VA,16:9,976.99
Samsung,CH711,32.0,2560 x 1440,60,1,IPS,16:9,1696.77
LG,38BK95C-W,37.5,3840 x 1600,144,4,VA,12:5,1869.50
Philips,322M7C/75,31.5,1920 x 1080,60,5,VA,16:9,
Samsung,LS32R750UENXZA,31.5,3840 x 2160,100,5,VA,16:9,
ViewSonic,VP3481,34.0,3440 x 1440,60,4,IPS,21:9,699.96
LG,29UM68-P,29.0,2560 x 1080,75,1,VA,21:9,653.41
Philips,328E9FJAB,31.5,2560 x 1440,60,4,TN,16:9,
Acer,CB281HK,28.0,3840 x 2160,100,5,VA,16:9,413.99
Titan,Army C34SW,34.0,3440 x 1440,60,5,PLS,21:9,
Samsung,U24E590D,23.6,3840 x 2160,75,5,IPS,16:9,
Acer,XR342CK,34.0,3440 x 1440,60,5,IPS,21:9,
LG,27UK600-W,27.0,3840 x 2160,75,5,IPS,16:9,
AOC,24V2H,23.8,1920 x 1080,60,1,IPS,16:9,
LG,34BK650-W,34.0,2560 x 1080,60,5,IPS,21:9,357.87
ViewSonic,VX2785-2K-MHDU,27.0,2560 x 1440,60,4,TN,16:9,322.99
Philips,221B8LJEB/27,21.5,1920 x 1080,60,1,IPS,16:9,149.98
LG,32UD89-W,31.5,3840 x 2160,75,4,IPS,16:9,
Acer,Predator XR341CK,34.0,3440 x 1440,144,4,TN,21:9,
AOC,G2770PF,27.0,1920 x 1080,144,1,VA,16:9,1063.00
LG,LC24RG50FQNXZA,23.5,1920 x 1080,75,1,VA,16:9,
Acer,ED323QUR widpx,31.5,2560 x 1440,144,6,TN,16:9,
AXM,2798,27.0,2560 x 1440,240,4,TN,16:9,
Pixio,PX5 Hayabusa,24.5,1920 x 1080,60,5,IPS,16:9,
Dell,S2418NX,24.0,1920 x 1080,75,1,IPS,16:9,
Acer,B277 bmiprzx,27.0,1920 x 1080,60,5,VA,16:9,199.99
Asus,CG32UQ,31.5,3840 x 2160,144,3,TN,16:9,
Lenovo,65D9GAC4EU,24.5,1920 x 1080,144,5,VA,16:9,
Monoprice,33821,32.0,2560 x 1440,60,5,IPS,16:9,
LG,34UM67,34.0,2560 x 1080,144,1,TN,21:9,
Acer,XZ271U Abmiiphzx,27.0,2560 x 1440,144,4,VA,16:9,
VIOTEK,GN32LD,31.5,2560 x 1440,60,1,IPS,16:9,
ViewSonic,XG2700-4K,27.0,3840 x 2160,60,1,IPS,16:9,
LG,32UK950-W,32.0,3840 x 2160,144,5,TN,16:9,
ViewSonic,XG2730,27.0,2560 x 1440,75,5,VA,16:9,
Philips,328E9QJAB,31.5,1920 x 1080,144,4,TN,16:9,
Nixeus,NX-VUE24A,24.0,1920 x 1080,75,4,TN,16:9,
Acer,KG270 biix,27.0,1920 x 1080,75,5,IPS,16:9,
LG,34UM59-B,34.0,2560 x 1080,75,4,IPS,21:9,
LG,24MK600M-W,23.8,1920 x 1080,60,4,IPS,16:9,
Acer,HA230 Abi,23.0,1920 x 1080,144,5,VA,16:9,
VIOTEK,GN32Q,32.0,2560 x 1440,60,5,IPS,16:9,
LG,23MP68VQ-P,23.0,1920 x 1080,60,5,IPS,16:9,
Asus,MG24UQ,23.6,3840 x 2160,100,4,VA,16:9,
Fox,Spirit PGM340,34.0,3440 x 1440,60,7,IPS,21:9,
Nixeus,NX-EDG27,27.0,2560 x 1440,144,4,IPS,16:9,
ViewSonic,XG2701,27.0,1920 x 1080,144,1,TN,16:9,
Acer,BH276 Pbmiiprzx,27.0,1920 x 1080,144,1,TN,16:9,
Philips,349X7FJEW/27,34.0,3440 x 1440,60,4,VA,21:9,
iiyama,G-MASTER RED EAGLE,27.0,1920 x 1080,144,1,TN,16:9,
VIOTEK,GN27C2,27.0,1920 x 1080,144,6,VA,16:9,
HP,Envy 27,27.0,3840 x 2160,60,14,IPS,16:9,444.99
Acer,B247Y Cbmipruzx,23.8,1920 x 1080,75,4,IPS,16:9,199.00
LG,27UD68P-B,27.0,3840 x 2160,60,5,IPS,16:9,
Pixio,PXC32,31.5,2560 x 1440,144,4,PVA,16:9,
Philips,246E9QDSB/27,23.8,1920 x 1080,75,4,IPS,16:9,
LG,27UD69P-W,27.0,3840 x 2160,60,5,IPS,16:9,
VIOTEK,GN32C,32.0,1920 x 1080,144,4,VA,16:9,
Acer,XZ271,27.0,1920 x 1080,144,4,VA,16:9,
LG,27BL65U-W,27.0,3840 x 2160,60,5,IPS,16:9,500.00
LG,27MP68VQ-P,27.0,1920 x 1080,60,5,IPS,16:9,
VIOTEK,GN35LD,35.0,2560 x 1080,144,4,VA,21:9,
Samsung,LC34J791WTEXXS,34.0,3440 x 1440,100,5,VA,21:9,
LG,32MU99-W,31.5,3840 x 2160,60,1,IPS,16:9,
Monoprice,124658,27.0,3840 x 2160,60,5,IPS,16:9,
iiyama,G-Master GE2788HS-B2,27.0,1920 x 1080,60,5,TN,16:9,
LG,34UM88C,34.0,3440 x 1440,60,1,IPS,21:9,
Asus,Designo MZ279HL,27.0,1920 x 1080,75,4,IPS,16:9,
iiyama,G-MASTER RED EAGLE,24.0,1920 x 1080,144,4,TN,16:9,
Eizo,FS2735,27.0,2560 x 1440,144,1,IPS,16:9,
Samsung,S24E370DL,23.6,1920 x 1080,60,6,PLS,16:9,
iiyama,GB2488HSU-B2,24.0,1920 x 1080,144,5,TN,16:9,
Dell,S2418HX,23.8,1920 x 1080,60,1,IPS,16:9,
LG,27BL85U,27.0,3840 x 2160,60,5,IPS,16:9,
iiyama,GB2788HS-B1,27.0,1920 x 1080,144,1,TN,16:9,
Philips,271B8QJEB,27.0,1920 x 1080,60,1,IPS,16:9,237.99
iiyama,B2783QSU-B1,27.0,2560 x 1440,70,3,TN,16:9,
AXM,2778,27.0,1920 x 1080,240,5,TN,16:9,
Pixio,PX245c,23.6,1920 x 1080,144,8,VA,16:9,
LG,29UC88-B,29.0,2560 x 1080,75,8,IPS,21:9,
VIOTEK,GN30CB,30.0,2560 x 1080,75,8,VA,21:9,
Kogan,KAMN49F14UHLC,49.0,3840 x 1080,144,4,VA,32:9,
Pixio,PX347c Prime,34.0,3440 x 1440,100,4,VA,21:9,
Samsung,U32E850R,31.5,3840 x 2160,60,5,PLS,16:9,
Acer,V247Y bi,23.8,1920 x 1080,75,5,IPS,16:9,139.98
Philips,241B8QTAA,23.8,1920 x 1080,60,4,IPS,16:9,187.19
Philips,271B8QTAA,27.0,1920 x 1080,60,5,IPS,16:9,278.98
Samsung,U24E850R,23.5,3840 x 2160,60,5,PLS,16:9,
Philips,326E8FJSB,31.5,2560 x 1440,75,3,VA,16:9,
LG,27UD60-B,27.0,3840 x 2160,60,5,IPS,16:9,
Mbest,MB279QR144,27.0,2560 x 1440,144,3,VA,16:9,
LG,27MU67,27.0,3840 x 2160,60,4,IPS,16:9,
Acer,HA270 Bbix,27.0,1920 x 1080,75,4,IPS,16:9,
iiyama,G-MASTER GOLD PHOENIX,31.5,1920 x 1080,144,4,VA,16:9,
Acer,B247Y bmiprczx bmiprczx,23.8,1920 x 1080,75,8,IPS,16:9,242.01
LG,27BK85U-W,27.0,3840 x 2160,60,14,VA,16:9,
VIOTEK,SUW49CR,49.0,3840 x 1080,144,5,VA,32:9,
Pixio,PX325c,31.5,1920 x 1080,144,3,IPS,16:9,
LG,32BK50Q-W,31.5,2560 x 1440,75,5,IPS,16:9,
Samsung,LS19F350HNWXXL,18.5,1366 x 768,60,4,IPS,16:9,
